Generation,Avg_Pollen,Avg_Dance_Prob,Avg_Radius,Misguided_Trips
0,9.4,0.48301095488514617,4.865620721434971,157
1,18.9,0.43857362450733356,4.590055424593841,330
2,15.1,0.37503197379700426,5.266134540983338,221
3,9.8,0.4007107591725682,5.192673118776135,160
4,4.9,0.42116481330995886,5.196771574657046,100
5,20.0,0.39215262656903155,5.316667716802788,227
6,24.9,0.38983356845389117,5.325848857550313,511
7,30.0,0.36848697351428056,5.366372317523039,624
8,23.0,0.3645743431588753,5.321588351145974,345
9,9.5,0.3763871304417657,5.322513859517038,76
